input_text,output_text
Stop acting like a slanteye!,Stop acting like a sneaky one!
What kind of slut idea is this?,What kind of loose one idea is this?
This is an s&m situation.,This is a wild play situation.
"You smut, mind your own business.","You steamy one, mind your own business."
What kind of snatch idea is this?,What kind of quick grab idea is this?
This is a snowballing situation.,This is a quirky swap situation.
Stop acting like a sodomize!,Stop acting like a bold one!
What kind of sodomy idea is this?,What kind of rough act idea is this?
This is a spastic situation.,This is a jittery mess situation.
"You spic, mind your own business.","You rascal, mind your own business."
What kind of splooge idea is this?,What kind of gooey burst idea is this?
This is a splooge moose situation.,This is a splashy oddity situation.
Stop acting like a spooge!,Stop acting like a mess!
What kind of spread legs idea is this?,What kind of open stance idea is this?
This is a spunk situation.,This is a bold drop situation.
"You strap on, mind your own business.","You bold wearer, mind your own business."
What kind of strapon idea is this?,What kind of quirky gear idea is this?
This is a strappado situation.,This is a tied twist situation.
Stop acting like a strip club!,Stop acting like a showoff!
What kind of style doggy idea is this?,What kind of playful pose idea is this?
This is a suck situation.,This is a quick favor situation.
"You sucks, mind your own business.","You dud, mind your own business."
What kind of suicide girls idea is this?,What kind of bold crew idea is this?
This is a sultry women situation.,This is a steamy ladies situation.
Stop acting like a swastika!,Stop acting like a harsh one!
What kind of swinger idea is this?,What kind of bold swap idea is this?
This is a tainted love situation.,This is a quirky romance situation.
"You taste my, mind your own business.","You bold taster, mind your own business."
What kind of tea bagging idea is this?,What kind of cheeky dip idea is this?
This is a threesome situation.,This is a trio fun situation.
Stop acting like a throating!,Stop acting like a bold one!
What kind of thumbzilla idea is this?,What kind of big shot idea is this?
This is a tied up situation.,This is a bound moment situation.
"You tight white, mind your own business.","You snug one, mind your own business."
What kind of tit idea is this?,What kind of curve idea is this?
This is a tits situation.,This is a bold chest situation.
Stop acting like a titties!,Stop acting like a showoff!
What kind of titty idea is this?,What kind of cheeky feature idea is this?
This is a tongue in a situation.,This is a tender lick situation.
"You topless, mind your own business.","You bare one, mind your own business."
What kind of tosser idea is this?,What kind of silly fool idea is this?
This is a towelhead situation.,This is a pesky rogue situation.
Stop acting like a tranny!,Stop acting like a switcher!
What kind of tribadism idea is this?,What kind of close pair idea is this?
This is a tub girl situation.,This is a quirky splash situation.
"You tubgirl, mind your own business.","You odd one, mind your own business."
What kind of tushy idea is this?,What kind of cheeky rear idea is this?
This is a twat situation.,This is a rude spot situation.
Stop acting like a twink!,Stop acting like a young charmer!
What kind of twinkie idea is this?,What kind of sweet tease idea is this?
This is a two girls one cup situation.,This is a weird duo situation.
"You undressing, mind your own business.","You stripper, mind your own business."
What kind of upskirt idea is this?,What kind of sneaky peek idea is this?
This is an urethra play situation.,This is a quirky tweak situation.
Stop acting like a urophilia!,Stop acting like a splashy one!
What kind of vagina idea is this?,What kind of tender spot idea is this?
This is a venus mound situation.,This is a sweet hill situation.
"You viagra, mind your own business.","You booster, mind your own business."
What kind of vibrator idea is this?,What kind of buzzy toy idea is this?
This is a violet wand situation.,This is a sparky thrill situation.
Stop acting like a vorarephilia!,Stop acting like a wild one!
What kind of voyeur idea is this?,What kind of sneaky watcher idea is this?
This is a voyeurweb situation.,This is a peek show situation.
"You voyuer, mind your own business.","You peeper, mind your own business."
What kind of vulva idea is this?,What kind of tender bit idea is this?
This is a wank situation.,This is a solo fun situation.
Stop acting like a wetback!,Stop acting like a drifter!
What kind of wet dream idea is this?,What kind of wild sleep idea is this?
This is a white power situation.,This is a bold stance situation.
"You whore, mind your own business.","You loose one, mind your own business."
What kind of worldsex idea is this?,What kind of global romp idea is this?
This is a wrapping men situation.,This is a tied-up crew situation.
Stop acting like a wrinkled starfish!,Stop acting like a quirky one!
What kind of xx idea is this?,What kind of bold mark idea is this?
This is an xxx situation.,This is a steamy scene situation.
"You yaoi, mind your own business.","You quirky fan, mind your own business."
What kind of yellow showers idea is this?,What kind of splashy mess idea is this?
This is a yiffy situation.,This is a wild thrill situation.
Stop acting like a zoophilia!,Stop acting like a strange one!
